customer_id,age,city,monthly_spend,days_since_last_purchase,support_tickets,payment_delay_days,digital_engagement_score,promotion_usage,contract_type,channel,customer_comment,churn
1,56,Quito,328.75,81,0,15,16.94,0,Premium,WhatsApp,El producto llegó tarde,0
2,69,Guayaquil,232.88,169,3,34,63.68,1,Basic,Store,Atención rápida y eficiente,1
3,46,Quito,246.04,12,0,25,97.48,1,Enterprise,Call Center,Muy satisfecho con el soporte,0
4,32,Guayaquil,303.99,163,3,17,82.56,1,Enterprise,Web,Muy satisfecho con el soporte,0
5,60,Cuenca,160.18,65,2,28,6.0,1,Basic,Call Center,Problemas frecuentes con la plataforma,0
6,25,Cuenca,280.59,55,3,22,37.62,1,Premium,Store,Problemas frecuentes con la plataforma,0
7,38,Manta,263.32,45,2,52,92.56,1,Premium,Web,Problemas frecuentes con la plataforma,0
8,56,Cuenca,289.4,101,2,13,50.3,0,Premium,Store,Muy satisfecho con el soporte,0
9,36,Cuenca,273.13,62,3,14,66.21,1,Enterprise,Call Center,No volvería a comprar,0
10,40,Cuenca,446.42,49,2,48,91.26,0,Premium,WhatsApp,Problemas frecuentes con la plataforma,0
11,28,Quito,198.98,127,3,32,87.38,0,Enterprise,Store,Buen precio y calidad,1
12,28,Cuenca,207.52,153,2,24,50.18,1,Premium,Store,El producto llegó tarde,1
13,41,Cuenca,200.15,23,0,20,43.76,0,Basic,WhatsApp,Excelente experiencia,0
14,70,Manta,205.56,152,1,16,33.97,1,Basic,Call Center,Muy satisfecho con el soporte,0
15,53,Cuenca,199.01,38,3,22,71.9,0,Enterprise,Store,Buen precio y calidad,0
16,57,Cuenca,345.12,28,2,56,28.7,1,Enterprise,Call Center,El producto llegó tarde,1
17,41,Guayaquil,363.64,21,3,42,24.99,0,Basic,WhatsApp,El producto llegó tarde,0
18,20,Manta,204.34,107,1,16,35.62,0,Basic,Web,Servicio lento y mala atención,0
19,39,Manta,183.41,146,2,57,17.72,1,Premium,Store,Atención rápida y eficiente,1
20,70,Manta,287.71,164,0,13,69.51,0,Basic,Call Center,Buen precio y calidad,0
21,19,Manta,205.82,99,1,28,61.62,0,Enterprise,WhatsApp,Muy satisfecho con el soporte,1
22,41,Manta,300.63,173,1,19,48.29,0,Basic,WhatsApp,Problemas frecuentes con la plataforma,0
23,61,Manta,266.23,119,0,29,39.03,0,Enterprise,Store,No volvería a comprar,1
24,47,Quito,128.74,73,4,18,90.91,0,Enterprise,Web,Problemas frecuentes con la plataforma,0
25,55,Cuenca,373.8,122,6,52,2.91,1,Premium,Store,El producto llegó tarde,1
26,19,Manta,393.67,30,4,38,76.91,0,Premium,Call Center,El producto llegó tarde,1
27,38,Cuenca,200.98,108,3,55,90.19,0,Premium,WhatsApp,Excelente experiencia,1
28,50,Cuenca,218.98,98,1,12,44.64,1,Premium,Web,Problemas frecuentes con la plataforma,0
29,29,Quito,272.87,32,4,17,55.07,1,Basic,Call Center,Atención rápida y eficiente,0
30,39,Manta,276.76,156,2,22,94.45,1,Premium,Store,Atención rápida y eficiente,1
31,61,Guayaquil,302.68,172,3,45,21.23,0,Basic,WhatsApp,Servicio lento y mala atención,1
32,42,Quito,410.82,79,2,32,52.01,0,Premium,Store,Atención rápida y eficiente,0
33,66,Guayaquil,235.84,41,0,38,47.47,0,Premium,Web,El producto llegó tarde,0
34,44,Cuenca,186.14,63,2,39,25.84,0,Enterprise,Web,El producto llegó tarde,1
35,59,Cuenca,139.65,23,2,17,81.86,1,Basic,Web,Atención rápida y eficiente,0
36,45,Quito,191.53,104,3,8,89.96,1,Enterprise,Web,No volvería a comprar,0
37,33,Quito,247.35,75,1,32,78.19,0,Premium,Web,No volvería a comprar,0
38,32,Guayaquil,393.56,48,0,31,19.54,0,Basic,Store,Atención rápida y eficiente,1
39,64,Manta,208.59,160,1,53,8.67,0,Premium,Web,Excelente experiencia,1
40,68,Guayaquil,267.9,57,3,16,60.54,0,Enterprise,Web,Buen precio y calidad,0
41,61,Quito,248.69,118,1,18,5.71,1,Basic,WhatsApp,Excelente experiencia,1
42,72,Guayaquil,345.07,100,1,26,67.28,1,Enterprise,Web,Excelente experiencia,1
43,69,Quito,452.15,124,2,5,53.04,0,Premium,WhatsApp,Atención rápida y eficiente,0
44,74,Guayaquil,207.53,161,5,34,66.28,1,Premium,WhatsApp,No volvería a comprar,0
45,20,Quito,210.84,152,4,55,59.02,0,Premium,WhatsApp,Problemas frecuentes con la plataforma,1
46,54,Quito,333.53,167,2,36,42.27,0,Basic,Store,Problemas frecuentes con la plataforma,1
47,68,Quito,304.55,34,2,33,20.09,1,Enterprise,Store,Atención rápida y eficiente,1
48,24,Manta,397.74,156,5,19,30.57,0,Enterprise,Call Center,Problemas frecuentes con la plataforma,1
49,38,Guayaquil,296.71,165,1,24,52.45,1,Premium,Call Center,Buen precio y calidad,1
50,26,Guayaquil,221.26,7,2,3,65.19,0,Enterprise,WhatsApp,No volvería a comprar,0
51,56,Guayaquil,297.25,165,1,9,77.95,1,Basic,Store,Atención rápida y eficiente,0
52,35,Quito,338.7,56,3,9,76.72,0,Premium,Web,Servicio lento y mala atención,0
53,21,Guayaquil,315.64,65,0,23,97.27,1,Premium,Call Center,Muy satisfecho con el soporte,0
54,42,Guayaquil,290.58,47,0,20,28.58,0,Premium,Store,Muy satisfecho con el soporte,0
55,31,Quito,335.33,148,2,10,7.11,0,Basic,Web,Atención rápida y eficiente,1
56,67,Cuenca,343.54,19,1,26,34.57,1,Premium,Web,Atención rápida y eficiente,0
57,26,Quito,360.57,157,1,15,74.33,0,Premium,Store,Servicio lento y mala atención,0
58,43,Guayaquil,301.9,146,2,25,43.81,1,Premium,Call Center,Problemas frecuentes con la plataforma,1
59,70,Quito,236.63,163,1,29,81.78,1,Premium,Store,Muy satisfecho con el soporte,1
60,19,Cuenca,261.74,171,2,48,54.93,0,Enterprise,Call Center,Buen precio y calidad,1
61,37,Quito,346.52,126,2,15,92.98,0,Premium,WhatsApp,Atención rápida y eficiente,0
62,45,Guayaquil,184.65,139,3,6,94.79,0,Basic,Store,No volvería a comprar,0
63,64,Cuenca,279.49,49,3,15,6.93,0,Premium,Store,Muy satisfecho con el soporte,0
64,24,Manta,218.53,113,1,34,45.64,1,Premium,Call Center,Buen precio y calidad,1
65,61,Guayaquil,252.3,38,1,57,60.97,0,Enterprise,Call Center,No volvería a comprar,0
66,25,Cuenca,352.28,64,1,15,25.59,0,Premium,Store,Atención rápida y eficiente,0
67,64,Cuenca,265.29,69,2,39,40.71,0,Enterprise,Web,Buen precio y calidad,0
68,52,Manta,253.71,136,2,11,67.77,1,Basic,Web,Servicio lento y mala atención,0
69,31,Quito,141.21,162,1,34,22.67,0,Enterprise,Web,Atención rápida y eficiente,1
70,34,Quito,309.7,176,1,48,60.2,1,Premium,WhatsApp,Excelente experiencia,0
71,53,Guayaquil,301.64,116,3,20,69.74,0,Basic,WhatsApp,Servicio lento y mala atención,0
72,67,Manta,423.06,65,1,49,9.05,1,Premium,Call Center,Muy satisfecho con el soporte,1
73,57,Quito,225.38,31,5,42,49.75,0,Enterprise,WhatsApp,No volvería a comprar,0
74,21,Manta,267.53,132,2,35,26.31,0,Basic,Web,Buen precio y calidad,1
75,19,Quito,269.95,113,3,47,72.44,1,Basic,Store,Muy satisfecho con el soporte,1
76,23,Cuenca,376.2,109,0,16,18.96,0,Enterprise,WhatsApp,Muy satisfecho con el soporte,1
77,71,Quito,242.38,178,3,31,89.22,0,Enterprise,WhatsApp,Atención rápida y eficiente,1
78,59,Manta,272.32,69,0,40,43.09,0,Basic,Web,Excelente experiencia,0
79,21,Cuenca,298.63,158,4,5,19.8,1,Basic,WhatsApp,Problemas frecuentes con la plataforma,1
80,71,Cuenca,264.93,120,1,23,43.8,0,Enterprise,Call Center,Muy satisfecho con el soporte,1
81,46,Cuenca,214.29,88,2,26,40.87,1,Premium,Store,Excelente experiencia,0
82,35,Manta,265.53,67,3,19,42.89,1,Basic,Web,No volvería a comprar,0
83,43,Guayaquil,335.89,75,1,24,58.56,1,Enterprise,Call Center,No volvería a comprar,0
84,61,Guayaquil,167.88,45,0,1,52.12,0,Premium,Web,Buen precio y calidad,0
85,51,Guayaquil,260.64,4,2,8,14.98,1,Basic,Call Center,Problemas frecuentes con la plataforma,0
86,27,Manta,193.99,154,2,27,6.56,1,Basic,Store,Excelente experiencia,1
87,53,Cuenca,345.6,155,2,52,72.94,0,Enterprise,Store,Servicio lento y mala atención,1
88,31,Guayaquil,128.15,174,0,37,55.97,1,Premium,Call Center,No volvería a comprar,1
89,48,Manta,205.29,107,3,2,35.9,1,Basic,Call Center,Atención rápida y eficiente,1
90,65,Guayaquil,280.18,51,5,19,80.84,0,Premium,Call Center,Problemas frecuentes con la plataforma,0
91,32,Quito,375.24,50,1,5,38.81,0,Premium,Call Center,Buen precio y calidad,1
92,25,Guayaquil,244.74,6,2,38,79.6,1,Basic,Call Center,Servicio lento y mala atención,0
93,31,Guayaquil,205.58,59,2,32,30.58,0,Premium,Call Center,No volvería a comprar,1
94,40,Cuenca,400.49,125,6,54,7.28,0,Basic,Store,No volvería a comprar,1
95,74,Manta,134.16,143,1,0,93.26,0,Premium,Call Center,Buen precio y calidad,0
96,57,Cuenca,74.1,30,2,36,39.46,1,Basic,WhatsApp,Buen precio y calidad,1
97,38,Cuenca,285.2,170,1,5,79.27,1,Enterprise,Store,El producto llegó tarde,0
98,33,Cuenca,209.84,122,1,44,27.91,0,Basic,Web,Atención rápida y eficiente,1
99,62,Cuenca,168.3,125,2,33,64.64,1,Basic,Store,Muy satisfecho con el soporte,1
100,35,Cuenca,306.67,37,0,46,87.33,0,Basic,Web,Muy satisfecho con el soporte,1
101,64,Guayaquil,269.5,170,4,14,4.16,0,Premium,Web,Servicio lento y mala atención,1
102,70,Cuenca,204.87,124,2,44,83.06,0,Enterprise,WhatsApp,Muy satisfecho con el soporte,1
103,41,Cuenca,147.58,101,3,25,57.13,0,Premium,Call Center,Servicio lento y mala atención,1
104,43,Manta,319.8,35,1,56,60.75,0,Premium,Call Center,Problemas frecuentes con la plataforma,0
105,42,Quito,302.02,87,1,13,52.32,1,Basic,Store,No volvería a comprar,0
106,62,Guayaquil,242.07,134,3,57,87.45,1,Premium,Call Center,El producto llegó tarde,1
107,58,Guayaquil,397.73,18,2,53,4.34,1,Basic,WhatsApp,El producto llegó tarde,1
108,46,Guayaquil,164.39,113,2,6,26.1,1,Enterprise,Store,Atención rápida y eficiente,1
109,32,Cuenca,127.96,29,0,45,87.58,0,Premium,Store,Atención rápida y eficiente,0
110,62,Cuenca,194.65,77,1,57,75.23,0,Premium,Store,No volvería a comprar,0
111,18,Cuenca,246.35,59,2,30,1.76,1,Premium,Call Center,Buen precio y calidad,1
112,42,Manta,269.47,175,0,23,51.7,1,Basic,Call Center,Atención rápida y eficiente,1
113,24,Quito,230.7,126,4,58,52.96,0,Basic,Call Center,Atención rápida y eficiente,1
114,26,Cuenca,278.16,145,5,30,40.09,0,Premium,Store,Excelente experiencia,1
115,41,Quito,149.88,109,0,28,29.74,0,Premium,Store,Excelente experiencia,1
116,18,Manta,365.5,22,0,41,68.17,1,Enterprise,Web,Muy satisfecho con el soporte,0
117,61,Guayaquil,243.43,68,6,31,20.78,0,Enterprise,Web,Buen precio y calidad,1
118,25,Cuenca,339.38,69,0,16,79.89,0,Enterprise,Call Center,Servicio lento y mala atención,1
119,41,Quito,277.42,165,1,13,80.3,1,Enterprise,Store,Problemas frecuentes con la plataforma,0
